file,Pmax,delta_star,At,m
sample_1.csv,222.15,0.000492,0.07611529418945001,280877.15621943964
sample_2.csv,227.97,0.000501,0.07696805298425001,280710.6312314635
sample_3.csv,229.69,0.000505,0.077256928463,280586.36633262644
sample_4.csv,224.73,0.000488,0.0608888299166,276226.9520341831
sample_5.csv,236.23,0.000605,0.07456745612739998,280328.00277031725
sample_6.csv,244.39,0.000537,0.07560749934614996,280204.9688379263
sample_7.csv,246.02,0.000528,0.075190247886,281445.5035061058
sample_9.csv,250.89,0.000531,0.07503529163435,281231.98115833657
sample_10.csv,256.88,0.00054,0.0785902320768,279786.1364827358
sample_11.csv,258.63,0.000543,0.06888203824390002,273825.38942081376
sample_12.csv,269.81,0.000557,0.07352782031465001,279607.041565842
sample_13.csv,273.55,0.000563,0.0774987934362,279524.929850026
sample_14.csv,150.69,0.00059,0.046638853127649996,269786.1712658283
sample_15.csv,274.15,0.000563,0.07981974782360002,279371.90303625533
sample_16.csv,278.57,0.000569,0.07593439374674998,279337.4515061584
sample_17.csv,286.83,0.000586,0.07361719386605,279277.8983014643
sample_18.csv,291.18,0.000587,0.0739278459212,279175.1130201262
sample_19.csv,285.91,0.000577,0.07110571393265001,279113.6519390431
sample_20.csv,286.46,0.000581,0.07225291436940001,279064.2289662907
sample_21.csv,292.58,0.000585,0.07350399597115,279009.52878514095
sample_22.csv,292.61,0.000585,0.07353292431219999,278962.79753958184
sample_23.csv,292.54,0.000585,0.07355993694875,278913.61478421616
sample_24.csv,292.58,0.000585,0.0736067309618,278871.35608482204
sample_25.csv,296.23,0.000585,0.07364506962400001,278827.59079784655
sample_26.csv,298.21,0.000588,0.07455830036215,278798.0193565738
sample_27.csv,299.68,0.000588,0.07459480248,278759.6659790093
sample_28.csv,300.1,0.000588,0.07459869923915,278730.0827249059
sample_29.csv,302.85,0.000585,0.07370910021395001,278700.23705224285
sample_30.csv,303.16,0.000585,0.07370329527310002,278667.0046757615
sample_31.csv,303.16,0.000585,0.07369745408605001,278645.82152556936
sample_32.csv,303.14,0.000585,0.07369160309465,278622.30488964677
sample_33.csv,303.12,0.000584,0.07338641501224999,278596.35411572736
sample_34.csv,303.1,0.000584,0.07338108678835,278576.9066525449
sample_35.csv,303.08,0.000584,0.07337796060509999,278538.3240365776
sample_36.csv,303.06,0.000584,0.07337287401720002,278416.93531881063
sample_37.csv,303.05,0.000584,0.0733690969586,278418.0739367158
sample_38.csv,303.04,0.000584,0.07336671341465,278418.92790014454
sample_39.csv,303.02,0.000584,0.0733633308707,278419.78186357336
sample_40.csv,303.01,0.000584,0.07336085632675,278420.6358270021
sample_41.csv,303.01,0.000584,0.07335873779745,278421.2051359547
sample_42.csv,303.0,0.000584,0.07335726726814998,278421.7744449072
sample_43.csv,302.99,0.000584,0.07335526373885,278422.3437538597
sample_44.csv,302.99,0.000584,0.0733547112242,278422.628408336
sample_45.csv,302.98,0.000584,0.0733528116949,278423.19771728857
sample_46.csv,302.98,0.000584,0.07335239468024998,278139.1753316964
sample_47.csv,302.98,0.000584,0.07335212968025,278139.1753316964
sample_48.csv,302.98,0.000584,0.07335198418024999,278139.1753316964
sample_49.csv,302.98,0.000584,0.07335254269489999,278423.19771728857
sample_50.csv,302.99,0.000584,0.07335391020955001,278422.9130628123
